Probenname,gene_name,gene_type,Ct_Messung_1,Ct_Messung_2,mean_ct
SCC-12_t72_irr1,TGFBRII,target,20.52,19.64,19.64
SCC-12_t72_irr1,SMAD2,target,22.34,19.25,19.25
SCC-12_t72_irr1,SMAD3,target,24.77,23.18,23.18
SCC-12_t72_irr1,ACTB,HK,15.69,12.8,12.8
SCC-12_t72_irr1,HPRT1,HK,,,
SCC-12_t72_irr1,TBP,HK,21.39,20.92,20.92
SCC-12_t72_irr2,TGFB,target,23.58,23.9,23.9
SCC-12_t72_irr2,TGFBRI,target,26.9,26.57,26.57
SCC-12_t72_irr2,TGFBRII,target,21.45,21.25,21.25
SCC-12_t72_irr2,SMAD2,target,23.37,20.22,20.22
SCC-12_t72_irr2,SMAD3,target,27.1,23.55,23.55
SCC-12_t72_irr2,ACTB,HK,17.33,13.86,13.86
SCC-12_t72_irr2,HPRT1,HK,,20.2,20.2
SCC-12_t72_irr2,TBP,HK,22.53,21.47,21.47
FVH2819_t72_ctrl1,TGFB,target,24.19,24.08,24.08
FVH2819_t72_ctrl1,TGFBRI,target,24.5,,
FVH2819_t72_ctrl1,TGFBRII,target,25.02,24.64,24.64
FVH2819_t72_ctrl1,SMAD2,target,26.99,22.41,22.41
FVH2819_t72_ctrl1,SMAD3,target,27.53,23.91,23.91
FVH2819_t72_ctrl1,ACTB,HK,20.55,16.6,16.6
FVH2819_t72_ctrl1,HPRT1,HK,23.04,,
FVH2819_t72_ctrl1,TBP,HK,25.45,24.87,24.87
FVH2819_t72_ctrl2,TGFB,target,26.59,26.87,26.87
FVH2819_t72_ctrl2,TGFBRI,target,27.29,,
FVH2819_t72_ctrl2,TGFBRII,target,27.87,27.16,27.16
FVH2819_t72_ctrl2,SMAD2,target,27.14,23.81,23.81
FVH2819_t72_ctrl2,SMAD3,target,29.27,26.91,26.91
FVH2819_t72_ctrl2,ACTB,HK,22.29,18.06,18.06
FVH2819_t72_ctrl2,HPRT1,HK,23.84,23.56,23.56
FVH2819_t72_ctrl2,TBP,HK,27.67,26.58,26.58
FVH2819_t72_irr1,TGFB,target,27.08,27.37,27.37
FVH2819_t72_irr1,TGFBRI,target,28.1,,
FVH2819_t72_irr1,TGFBRII,target,28.06,27.75,27.75
FVH2819_t72_irr1,SMAD2,target,27.5,25.15,25.15
FVH2819_t72_irr1,SMAD3,target,28.72,27.2,27.2
FVH2819_t72_irr1,ACTB,HK,21.64,19.77,19.77
FVH2819_t72_irr1,HPRT1,HK,,,
FVH2819_t72_irr1,TBP,HK,28.14,27.27,27.27
FVH2819_t72_irr2,TGFB,target,27.69,28.03,28.03
FVH2819_t72_irr2,TGFBRI,target,28.3,,
FVH2819_t72_irr2,TGFBRII,target,28.52,27.95,27.95
FVH2819_t72_irr2,SMAD2,target,27.94,25.23,25.23
FVH2819_t72_irr2,SMAD3,target,29.3,27.44,27.44
FVH2819_t72_irr2,ACTB,HK,22.82,19.32,19.32
FVH2819_t72_irr2,HPRT1,HK,,,
FVH2819_t72_irr2,TBP,HK,28.36,27.77,27.77
