ID,cell_line,Irradiation,Messung,hsa-let-7c-5p  ,hsa-let-7f-5p  ,hsa-let-7i-5p  ,hsa-mir-7-5p  ,hsa-mir-9-5p  ,hsa-mir-15a-5p  ,hsa-mir-19b-3p  ,hsa-mir-21-5p  ,hsa-mir-22-3p  ,hsa-mir-23a-3p  ,hsa-mir-23b-3p  ,hsa-mir-24-3p  ,hsa-mir-26a-5p  ,hsa-mir-26b-5p  ,hsa-mir-29a-3p  ,hsa-mir-29b-3p  ,hsa-mir-29c-3p  ,hsa-mir-30a-3p  ,hsa-mir-30b-5p  ,hsa-mir-30d-5p  ,hsa-mir-31-5p  ,hsa-mir-32-5p  ,hsa-mir-34a-5p  ,hsa-mir-34c-5p  ,hsa-mir-92a-3p  ,hsa-mir-125b-5p  ,hsa-mir-126-3p  ,hsa-mir-130a-3p  ,hsa-mir-135b-5p  ,hsa-mir-146a-5p  ,hsa-mir-148a-3p  ,hsa-mir-155-5p  ,hsa-mir-181a-3p  ,hsa-mir-181a-5p  ,hsa-mir-183-5p  ,hsa-mir-200a-3p  ,hsa-mir-200b-3p  ,hsa-mir-203a-3p  ,hsa-mir-205-5p  ,hsa-mir-221-3p  ,hsa-mir-296-5p  ,hsa-mir-378i  ,hsa-mir-424-5p  ,hsa-mir-495-3p  ,hsa-mir-503-5p  ,hsa-mir-16-5p  ,hsa-mir-101-3p  ,hsa-mir-378g  ,hsa-mir-382-5p  ,hsa-mir-1246  ,hsa-mir-4454  
190619 SCC-12 irr_2,SCC-12,KAUVIR,190619,875.853,800.362,257.937,4.232,-1.453,339.856,951.175,1032.185,864.741,997.941,723.472,835.486,219.897,69.006,830.374,1158.598,393.118,7.444,444.447,21.235,26.829,10.939,2.743,1.984,781.081,-2.495,-1.98,892.823,134.432,-0.948,46.356,-1.573,-2.929,151.782,8.808,56.191,53.665,65.309,1836.571,616.63,-2.826,0.99,742.438,-2.929,42.246,1328.086,,,,,
210319 Met-1 K0_1,Met-1,control,210319,1030.838,1020.668,636.523,131.736,1.792,361.181,288.195,1762.969,925.686,1004.056,807.651,1057.182,319.641,123.76,683.419,871.791,463.39,15.624,384.033,29.938,329.822,16.064,20.872,3.317,252.435,1.988,5.469,459.998,94.359,113.606,198.233,49.049,16.254,386.231,7.844,156.898,112.631,10.596,2047.583,426.801,6.832,2.376,69.852,-0.158,6.856,1110.119,1.262,3.375,0.918,0.715,0.496
210319 HaCaT K0_1,HaCaT,control,210319,1003.617,1055.746,291.789,82.255,0.364,417.962,480.43,931.456,1008.267,768.225,683.28,757.664,343.535,140.742,625.193,662.498,434.716,38.085,496.168,25.435,125.315,42.862,50.619,-0.148,412.214,0.306,1.762,382.062,73.289,12.702,114.99,7.504,3.262,115.026,13.337,222.418,181.111,162.679,2057.334,540.04,-0.149,25.834,24.859,-0.673,0.0822,1308.255,,,,,
210319 Met-1 K0_2,Met-1,control,210319,1587.36,1459.353,897.738,243.235,-1.054,277.192,215.01,1455.622,774.312,1340.48,1063.208,735.098,264.743,150.241,590.748,659.019,364.609,4.66,500.612,10.561,214.168,7.412,24.112,1.394,172.7,0.278,5.999,393.797,83.192,71.111,84.577,72.337,10.734,299.415,7.467,113.538,137.185,13.903,2474.278,398.989,3.859,-0.0379,18.703,-0.686,1.498,1194.07,0.823,2.933,0.603,0.643,0.315
210319 HaCaT K0_2,HaCaT,control,210319,853.967,960.362,226.354,49.747,-0.305,392.377,510.936,794.055,1221.709,833.45,670.171,842.278,362.868,139.789,538.774,628.443,315.823,23.873,550.829,21.387,124.118,31.037,44.495,-0.55,437.543,-0.356,1.62,384.594,77.466,15.755,101.145,10.142,1.702,104.291,10.754,185.085,193.726,184.049,2318.013,533.645,-0.304,21.513,19.202,-1.256,-1.048,1556.158,,,,,
210319 Met-1 irr_1,Met-1,KAUVIR,210319,926.001,908.601,562.707,151.554,0.43,338.953,332.54,1433.583,1004.092,1041.341,846.193,946.107,272.229,113.932,756.894,837.324,482.078,17.127,367.87,29.041,340.621,16.177,21.198,3.912,268.177,0.993,4.921,417.786,58.188,97.215,141.667,75.483,20.463,322.513,6.924,162.989,128.193,9.94,1730.927,465.393,7.993,3.481,63.195,-0.744,6.278,1046.759,0.736,2.32,0.265,0.513,0.0482
210319 HaCaT irr_1,HaCaT,KAUVIR,210319,701.531,737.318,239.685,70.062,-0.243,473.751,566.377,990.836,1424.695,877.173,611.018,1027.646,428.656,88.512,565.677,719.33,268.553,29.454,401.051,34.268,155.975,31.546,79.806,-1.29,497.391,-0.855,-0.342,471.838,49.425,19.449,97.298,10.332,4.366,155.381,8.944,205.757,175.258,180,2421.871,636.931,-0.634,18.422,13.784,-1.168,-1.017,1584.899,,,,,
210319 Met-1 irr_2,Met-1,KAUVIR,210319,788.852,736.264,571.127,203.363,1.335,385.458,360.453,1307.926,1058.152,980.1,789.044,1025.765,363.356,135.01,716.571,812.054,376.377,19.166,411.218,40.716,387.246,16.743,34.334,6.485,304.134,1.961,9.399,500.033,79.679,125.953,216.405,86.747,21.897,400.294,13.872,217.355,150.685,15.259,1527.007,574.389,10.77,1.985,72.948,-0.897,9.09,1110.868,0.263,1.374,0.149,0.455,0.0226
210319 HaCaT irr_2,HaCaT,KAUVIR,210319,827.493,911.593,238.985,19.995,-3.891,590.703,331.219,902.567,1836.103,832.351,621.19,878.435,277.567,43.488,518.424,576.352,244.021,14.757,394.622,18.408,143.83,2.766,50.736,-4.019,287.884,-6.296,-5.318,647.8,23.323,21.553,73.579,-0.231,-2.858,154.265,1.411,123.177,137.995,199.979,3994.189,333.262,-3.935,0.305,12.922,-5.386,-9.681,2256.397,,,,,
210319 Met-4 K0_1,Met-4,control,210319,470.728,745.451,464.312,297.723,2.803,414.205,404.861,1960.776,1040.768,1058.614,718.041,1128.926,262.127,74.534,840.281,1138.065,263.084,9.508,548.662,26.029,399.654,29.78,33.504,1.297,367.69,0.101,8.632,377.108,54.661,7.213,195.106,54.699,18.525,364.217,17.847,207.588,107.846,68.395,2145.191,425.06,9.776,-3.177,58.159,8.8,7.155,1185.729,-0.0981,0.267,4.348,0.00786,-0.0126
