LOC;REP;DATE;Na;Mg;Al;Si;P;S;Cl;K;Ca;Ti;V;Cr;Mn;Fe;Ni;Cu;Zn;Ga;Ge;As;Br;Rb;Sr;Y;Zr;Nb;Sn;Ba;Ce;Nd;Hf;W;Tl;Pb;Th;U;SOIL;PH;CARB;C_N
E3;3;26.09.2023;6675;11230;51380;160000;1014.5;2651.5;179.7;12210;106900;3712.5;123.3;191;4415.5;30745;62.25;185.6;858.75;10.65;;1.75;3.9;67.5;215.7;26;345.2;8.65;17.25;951.5;103.5;50.7;10.85;7.4;0.9;174.9;11.5;1.95;Lehmiger Sand;7.37;7.15;35.07
E4;1;26.09.2023;4300;5132;52375;259700;1032.5;1874.5;74.95;12125;10055;3206;105.95;76.65;377.55;23880;35.4;27.85;195.8;13.2;1.1;12.65;13.75;59.15;148.6;19.9;379.1;8.1;5.35;418.5;;54.2;8.1;5.5;0.65;94.5;8.5;2.15;Lehmiger Sand;6.19;0;16.52
E4;2;28.09.2023;4495;4955.5;54230;242200;1480;1957;69.15;11785;11535;3305;133.45;82.6;468.95;32450;38.2;37.25;261.8;10.2;2.1;20.8;14.85;65.6;193;20.6;302.55;7.85;3.8;430.5;92;84.4;5.3;3.3;1;120.1;10.1;3.45;Lehmiger Sand;6.19;0;16.79
E4;3;28.09.2023;4155;4238.5;53630;295000;1242;1230;33.1;12475;7414.5;3085;98.15;66.3;332.25;22370;28.5;24.95;172.95;13.45;0.7;11.45;9.4;59.25;130.7;21.2;416.8;8.5;1.9;405;53;75.65;8.65;3.1;0.4;87.8;9.45;3.35;Lehmiger Sand;5.82;0;17.27
E5;1;28.09.2023;3795;1934.5;39110;309500;1458;1464;60.15;10405;4699.5;2345;62.6;49.25;298.95;16845;23.7;31.1;170.9;6.65;1.9;20.95;13.65;42.9;69.05;15;450.1;6.15;10.6;357;156;57.2;9;4.9;0.95;141.35;7.4;0.5;Lehmiger Sand;5;0;19.61
E5;2;28.09.2023;4365;2729;45235;282150;1407;1566;53.8;11065;5181.5;2636.5;72.7;53.5;557.25;23315;29.05;33.6;229.15;7.65;2;20.35;16.25;47.7;78.9;17.1;423.25;6.05;3.3;403.5;95;67.75;9.6;3.75;0.9;127.3;7.55;1.15;Lehmiger Sand;4.8;0;18.3
E5;3;28.09.2023;4820;2246.5;38995;286800;1682;1566.5;70.55;11055;5387;2171.5;53.5;48.25;478.8;22455;24.3;23.4;292.75;10.5;0.4;15.15;15.55;44.15;73.15;14.95;388.85;5.35;3.4;350.5;141;51.25;8.6;4.4;0.5;96.5;5.75;0.55;Lehmiger Sand;4.71;0;16.27
E6;1;28.09.2023;3905;778;32915;295600;1078;1903.5;252;9121.5;1786.5;2339.5;41.15;41.55;115.75;12590;19.65;33.6;79.9;5.9;2.2;29.3;21.15;33.8;46.8;14.5;489.9;5.85;7.1;253.5;125;34.8;9.65;4.25;0.7;170.45;6.15;0.5;Schluffiger Sand;3.73;0;24.16
E6;2;28.09.2023;3105;217;27245;315350;921;1469.5;324.25;8499;1081.5;2610;29.5;43.35;94.6;10021.5;16.85;21.7;54.75;5.85;1.45;21.3;20.9;30.3;40.4;17.15;624.9;6.35;4.9;221.5;;26.7;10.15;3.45;0.6;107.75;5.8;;Schluffiger Sand;3.49;0;28.94
E6;3;28.09.2023;3245;520;29530;281500;1020;2041;220.9;9147;1174;2709.5;45.15;48.9;108.55;11440;19.55;32.15;71.1;6.65;1.75;20.3;18.15;32.35;41.2;13;452.15;5.65;5;230;83;45.85;10.6;3.6;0.6;151.4;6.25;0.6;Schluffiger Sand;3.56;0;28.06
P1.1;1;28.09.2023;4550;16735;40830;218350;974.7;2127.5;80.55;8703.5;105750;2211.5;59.85;40.8;1511;14555;22.8;20.5;94.7;5.75;0.55;6.95;3.7;39.9;145.55;25.45;309.45;3.6;5.8;663.5;72.5;103.75;7.8;4.95;0.45;38.55;8;1.05;Sand;7.19;5.66;40.59
P1.1;2;28.09.2023;2605;5268;55250;282500;1012;1481;68.05;14240;23075;2621.5;83.5;58.7;489.2;16980;28.15;26.6;129.4;10.1;1.05;8;4.6;62.85;84.6;16.75;356.75;6.3;4.3;314;139.5;96.55;7.25;3.95;0.6;55.35;7.95;0.5;Sand;7.17;1.06;32.1
P1.1;3;28.09.2023;3770;4905.5;43425;308100;1324;1355;62;12035;23665;2312.5;72.8;59.55;505.2;17020;25.1;28.95;144.4;9.2;1.25;8.35;5.5;52.75;85.4;16.95;490.95;6.35;;328;80;80.95;9.35;4.35;0.5;63.45;6.35;0.5;Sand;7.25;1.32;29.49
P1.2;1;28.09.2023;5870;8885;54000;282750;791.65;20.5;9.65;17275;38200;4070;67.15;70.5;532.3;22535;30;12.4;48.15;9.85;0.85;6.5;0.85;73.2;142.65;28.6;533.8;11.5;2.6;344;;67.2;10.5;3.55;0.4;15.95;10.4;1.85;Schluff ;7.43;3.33;60.44
P1.2;2;28.09.2023;5590;9175;53860;273950;843.6;22.25;7.9;16980;42645;4044.5;63.3;72.45;536.2;22475;29.3;13.3;47.55;10.1;;4.55;0.3;72.95;148.1;28.05;530;12;1.1;334.5;;70;11.3;3.25;0.35;16.3;9.55;1.35;Schluff;7.46;3.72;68.44
P1.2;3;28.09.2023;5285;8745;54710;281750;801.65;5.5;4.55;17415;36780;4010.5;63.9;66.45;537.45;23025;30.45;13.65;48.9;10.15;0.5;6.15;1.3;73.75;140.5;28.75;529;11.85;3.4;324.5;102;86.7;11;3.55;0.4;15.05;9.95;0.95;Schluff;7.46;4.78;59.63
P1.3;1;28.09.2023;3390;7245;42400;257250;727.2;1022;45.45;15380;48665;2144.5;75.4;59.7;772.9;22130;32.45;37.65;261.55;9.85;1.5;9.35;2.7;64.3;127.65;15.85;277.25;4.35;3.9;649;63;73.5;5.5;6.35;0.2;54.2;6.25;1;Lehmiger Sand;7.4;1.71;31.78
P1.3;2;28.09.2023;5840;9775;52640;255550;792.15;558.95;24.55;14955;57245;3878;63;76.55;491.45;22275;30.1;15.15;62.55;9.75;0.2;5.45;0.55;66.2;171.95;26.3;526.6;10.45;2;292.5;113;80.95;11;9.15;0.25;20.65;10.1;1.5;Lehmiger Sand;8.03;4.87;65.23
P1.3;3;28.09.2023;5940;10550;49785;251850;802.55;609.55;35.3;14310;62950;3804.5;64.6;70.3;549.95;21655;28.85;15;56.65;9.45;0.9;5.8;1;62.55;179;27.45;521.75;10.95;4.85;302;108;84.35;11.8;3.8;0.4;18.4;10.1;1.7;Lehmiger Sand;8.13;5.34;83.58
P1.4;1;28.09.2023;3725;1766;35655;307950;2457;1246;50.65;9077.5;4242;1956.5;110.35;63.45;583.25;17060;17.2;21.4;143.55;7.55;0.75;13.25;9.75;34.05;48.45;12.5;371.05;5.55;8;255;;30.6;6.15;5.65;0.1;62.65;4.8;0.5;Lehmiger Sand;5.26;0;14.84
P1.4;2;28.09.2023;2370;2973;39395;294750;1581;783.45;34.4;7400;4590.5;2274.5;142.25;69.5;416.25;25865;17.4;17;125.6;7.35;1.3;19.05;8.15;27.8;43.75;12.9;380.4;5.95;;197;120;54;4.5;7;0.1;50.25;5;0.4;Lehmiger Sand;5.7;0;14.7
P1.4;3;28.09.2023;3965;2336.5;36530;287150;3302;1914.5;70;7708.5;5076;2378;161.7;79.6;643.55;21405;23.1;40.6;217.55;10.2;1.9;15.15;15;30.65;66.95;14.4;453.65;5.75;3.4;1275.5;;57;9.65;5.4;0.5;94.65;5.95;;Lehmiger Sand;5.33;0;18.47
